CustomerID,Recency,Frequency,MonetaryTotal,MonetaryAvg,MonetaryStd,MonetaryMin,MonetaryMax,TotalQuantity,AvgQuantityPerTransaction,MinQuantity,MaxQuantity,CustomerTenureDays,FirstPurchaseDaysAgo,PreferredDayOfWeek,PreferredHour,PreferredMonth,WeekendPurchaseRatio,AvgDaysBetweenPurchases,UniqueProducts,UniqueDescriptions,AvgProductsPerTransaction,UniqueCountries,NegativeQuantityCount,ZeroPriceCount,CancelledTransactions,ReturnRatio,TotalTransactions,UniqueInvoices,AvgLinesPerInvoice,Age,SupportTicketsCount,SatisfactionScore,RFMSegment,AgeCategory,SpendingCategory,CustomerType,FavoriteSeason,PreferredTimeOfDay,Region,LoyaltyLevel,ChurnRiskCategory,WeekendPreference,BasketSizeCategory,ProductDiversity,Gender,AccountStatus,Country,Churn,MonetaryTotal_log,RegYear,RegMonth,RegDay,RegWeekday
17850,302,35,5288.630000000001,16.950737179487184,13.603661689116102,-30.6,107.25,1693,5.426282051282051,0,12,71,374,3,9,12,0.0,0.2218649517684887,24,25,0.6857142857142857,1,15,0,15,0.048076923076923,312,35,8.914285714285715,49.0,1.0,4.0,Fidèles,Inconnu,VIP,Perdu,Hiver,Matin,UK,Jeune,Critique,Inconnu,Moyen,Explorateur,Unknown,Active,United Kingdom,1,8.573503579116974,2010,7,17,5
13047,32,18,3079.1,15.70969387755102,11.6847688239824,-15.0,68.0,1355,6.913265306122449,0,32,342,374,2,13,10,0.1683673469387755,1.7179487179487178,106,106,5.888888888888889,1,24,0,24,0.1224489795918367,196,18,10.88888888888889,49.0,3.0,4.0,Champions,Inconnu,VIP,Régulier,Automne,Midi,UK,Établi,Moyen,Semaine,Moyen,Explorateur,M,Active,United Kingdom,0,8.03271734297303,2010,4,10,5
12583,3,18,7187.34,28.634820717131475,23.15013187581723,-60.84,132.8,5009,19.95617529880478,0,360,370,374,4,12,11,0.0557768924302788,1.456,115,117,6.388888888888889,1,4,0,4,0.0159362549800796,251,18,13.944444444444445,46.0,2.0,5.0,Champions,45-54,VIP,Hyperactif,Automne,Midi,Europe continentale,Ancien,Faible,Semaine,Grand,Explorateur,Unknown,Active,France,0,8.880215547842107,2009,9,12,5
13748,96,5,948.25,33.86607142857142,42.95311926234322,9.36,204.0,439,15.678571428571429,1,80,278,374,0,9,9,0.0,10.25925925925926,24,24,4.8,1,0,0,0,0.0,28,5,5.6,32.0,2.0,2.0,Potentiels,25-34,High,Nouveau,Automne,Matin,UK,Établi,Critique,Inconnu,Grand,Explorateur,Unknown,Active,United Kingdom,1,6.855672199111912,2010,1,28,3
15100,330,6,635.1,105.85,215.9862634521001,-131.39999999999998,350.4,58,9.666666666666666,0,32,43,374,2,9,12,0.0,8.2,1,1,0.1666666666666666,1,3,0,3,0.5,6,6,1.0,49.0,2.0,1.0,Potentiels,Inconnu,High,Perdu,Hiver,Matin,UK,Jeune,Critique,Inconnu,Moyen,Spécialisé,M,Active,United Kingdom,1,6.455355783684759,2009,10,12,0
15291,26,20,4596.51,42.16981651376147,49.09086065619568,-35.49,243.36,2074,19.027522935779817,0,144,348,374,2,16,1,0.1651376146788991,3.1481481481481484,63,63,3.15,1,6,0,6,0.055045871559633,109,20,5.45,25.0,2.0,5.0,Champions,25-34,VIP,Hyperactif,Hiver,Après-midi,UK,Établi,Faible,Semaine,Grand,Explorateur,M,Active,United Kingdom,0,8.433270131571271,2010,10,18,0
14688,8,27,5107.38,14.226685236768802,23.64446978200517,-72.15,153.0,3222,8.974930362116991,0,120,366,374,1,12,12,0.0,0.9972067039106144,148,151,5.481481481481482,1,32,0,32,0.0891364902506963,359,27,13.296296296296296,78.0,3.0,2.0,Champions,65+,VIP,Hyperactif,Hiver,Midi,UK,Ancien,Faible,Inconnu,Moyen,Explorateur,Unknown,Active,United Kingdom,0,8.538637607494248,2010,11,2,1
17809,16,15,4627.62,72.3065625,142.20644033836976,-717.23,425.0,2015,31.484375,0,144,357,374,4,15,10,0.0,5.587301587301587,47,49,3.1333333333333333,1,3,0,3,0.046875,64,15,4.266666666666667,38.0,2.0,2.0,Champions,35-44,VIP,Hyperactif,Automne,Après-midi,UK,Établi,Faible,Inconnu,Grand,Explorateur,F,Active,United Kingdom,0,8.440014046497208,2010,12,17,4
15311,1,118,59419.34,23.85360899237254,46.625077317700935,-275.0,408.0,37720,15.14251304696909,0,288,373,374,1,13,1,0.0397430750702529,0.1285140562248996,571,580,4.838983050847458,1,112,0,112,0.0449618627057406,2491,118,21.110169491525426,49.0,1.0,3.0,Champions,Inconnu,VIP,Hyperactif,Hiver,Midi,UK,Ancien,Faible,Semaine,Grand,Explorateur,M,Active,United Kingdom,0,10.99239187097936,2010,9,23,3
14527,3,86,7711.38,7.627477744807122,9.759291387411546,-80.0,87.6,2049,2.026706231454006,0,36,371,374,2,12,12,0.049455984174085,0.3336633663366337,331,338,3.8488372093023258,1,39,0,39,0.0385756676557863,1011,86,11.755813953488373,75.0,2.0,1.0,Champions,65+,VIP,Hyperactif,Hiver,Midi,UK,Ancien,Faible,Semaine,Petit,Explorateur,M,Active,United Kingdom,0,8.950582108935386,2010,9,4,5
