recency,frequency,monetarytotal,monetaryavg,monetarystd,avgquantitypertransaction,customertenuredays,firstpurchasedaysago,preferreddayofweek,preferredhour,preferredmonth,weekendpurchaseratio,avgdaysbetweenpurchases,uniqueproducts,avgproductspertransaction,uniquecountries,negativequantitycount,zeropricecount,returnratio,totaltransactions,uniqueinvoices,age,supportticketscount,satisfactionscore,churn,regyear,regday,monetaryperday,avgbasketvalue,purchaseintensity,tenureratio,productdiversityratio,returnimpact,customerscorenormalized,monetaryperday_log,avgbasketvalue_log,returnimpact_log,regmonth_sin,regmonth_cos,regweekday_sin,regweekday_cos,rfmsegment_Dormants,rfmsegment_Fidèles,rfmsegment_Potentiels,agecategory_25-34,agecategory_35-44,agecategory_45-54,agecategory_55-64,agecategory_65+,agecategory_Inconnu,spendingcategory_Low,spendingcategory_Medium,spendingcategory_VIP,customertype_Nouveau,customertype_Occasionnel,customertype_Perdu,customertype_Régulier,favoriteseason_Hiver,favoriteseason_Printemps,favoriteseason_Été,preferredtimeofday_Matin,preferredtimeofday_Midi,preferredtimeofday_Soir,region_Amérique du Nord,region_Amérique du Sud,region_Asie,region_Autre,region_Europe centrale,region_Europe continentale,region_Europe de l'Est,region_Europe du Nord,region_Europe du Sud,region_Moyen-Orient,region_Océanie,region_UK,loyaltylevel_Jeune,loyaltylevel_Nouveau,loyaltylevel_Établi,churnriskcategory_Faible,churnriskcategory_Moyen,churnriskcategory_Élevé,weekendpreference_Semaine,basketsizecategory_Moyen,basketsizecategory_Petit,productdiversity_Modéré,productdiversity_Spécialisé,gender_M,gender_Unknown,accountstatus_Closed,accountstatus_Pending,accountstatus_Suspended,country_Austria,country_Bahrain,country_Belgium,country_Canada,country_Channel Islands,country_Cyprus,country_Czech Republic,country_Denmark,country_EIRE,country_European Community,country_Finland,country_France,country_Germany,country_Greece,country_Iceland,country_Israel,country_Italy,country_Lebanon,country_Malta,country_Netherlands,country_Norway,country_Poland,country_Portugal,country_RSA,country_Saudi Arabia,country_Singapore,country_Spain,country_Sweden,country_Switzerland,country_USA,country_United Arab Emirates,country_Unspecified
302,11,3589.26875,16.950737179487184,13.603661689116102,5.426282051282051,71,374,3,9,12,0.0,0.2218649517684887,24,0.6857142857142857,1,15,0,0.048076923076923,312,35,49.0,1.0,4.0,1,2010,17,-0.36024556983845224,0.5872756601905462,-0.4411757914480699,-0.4819119726516443,-0.9115815042751141,1.6774305697058212,0.576509885784926,2.55301468731389,5.704134843122696,5.156529108759642,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32,11,3079.1,15.70969387755102,11.6847688239824,6.913265306122449,342,374,2,13,10,0.1683673469387755,1.7179487179487178,106,5.888888888888889,1,24,0,0.1224489795918367,196,18,49.0,3.0,4.0,0,2010,4,-0.055023034975752345,0.31757626124335836,-0.6750227541516798,-0.5237392424347771,-0.27753824406111016,4.059765563024529,-0.09232107197553514,4.546545456991619,5.551375643810449,5.934980575648578,-0.8660254037844386,0.5000000000000001,0.0,1.0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,11,3589.26875,28.634820717131475,23.15013187581723,19.95617529880478,370,374,4,12,11,0.0557768924302788,1.456,115,6.388888888888889,1,4,0,0.0159362549800796,251,18,46.0,2.0,5.0,0,2009,12,2.957516163660136,0.5872756601905462,-0.6797117414982395,-0.5246082734839668,-0.20794813013518293,0.3333336227026688,-0.08234887857868003,6.80052322141514,5.704134843122696,4.063876797862837,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
96,5,948.25,33.86607142857142,42.95311926234322,15.678571428571429,278,374,0,9,9,0.0,10.25925925925926,24,4.8,1,0,0,0.0,28,5,32.0,2.0,2.0,1,2010,28,-0.36800162032025197,-0.3076021903865076,-0.7024332388342986,-0.5211814412529089,-0.7260078671393081,-0.3331077717589623,-0.17610026607947527,2.3773003917332916,5.069166222397284,0.0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
330,6,635.1,105.85,215.9862634521001,9.666666666666666,43,374,2,9,12,0.0,8.2,1,0.1666666666666666,1,3,0,0.5,6,6,49.0,2.0,1.0,1,2009,10,-0.39744107265333406,-0.7346209286449153,-0.47297487066783744,-0.4481989008177916,-1.0838998816155054,3.3667227764295995,0.05541446742807236,1.071148973146401,4.51883390574469,5.763779448562497,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26,11,3589.26875,42.16981651376147,49.09086065619568,19.027522935779817,348,374,2,16,1,0.1651376146788991,3.1481481481481484,63,3.15,1,6,0,0.055045871559633,109,20,25.0,2.0,5.0,0,2010,18,0.09346543645195304,0.5872756601905462,-0.6760908759111396,-0.523930940105732,-0.6100243439294294,1.9688664026887923,-0.07243630847272517,4.897361175201714,5.704134843122696,5.291163974968782,-0.8660254037844386,0.5000000000000001,0.0,1.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,11,3589.26875,14.226685236768802,23.64446978200517,8.974930362116991,366,374,1,12,12,0.0,0.9972067039106144,148,5.481481481481482,1,32,0,0.0891364902506963,359,27,78.0,3.0,2.0,0,2010,2,1.089656993741756,0.5872756601905462,-0.6790856914165463,-0.524468424856175,0.04721562092655032,3.394508718711681,-0.08061814367172128,5.9909835286593776,5.704134843122696,5.771238046254306,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,11,3589.26875,72.3065625,142.20644033836976,31.484375,357,374,4,15,10,0.0,5.587301587301587,47,3.1333333333333333,1,3,0,0.046875,64,15,38.0,2.0,2.0,0,2010,17,0.3864629533018952,0.5872756601905462,-0.6776259279928215,-0.5242349271565527,-0.7337401020199668,1.6271671111692048,-0.07665176832781946,5.357215585493436,5.704134843122696,5.131359024815574,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,11,3589.26875,23.85360899237254,46.625077317700935,15.14251304696909,373,374,1,13,1,0.0397430750702529,0.1285140562248996,571,4.838983050847458,1,112,0,0.0449618627057406,2491,118,49.0,1.0,3.0,0,2010,23,6.319662669513221,0.5872756601905462,-0.680172490923336,-0.5246634746549468,3.317950975445131,1.5471612448112344,-0.08358670943650448,7.493113650743245,5.704134843122696,5.089940553007469,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,11,3589.26875,7.627477744807122,9.759291387411546,2.026706231454006,371,374,2,12,12,0.049455984174085,0.3336633663366337,331,3.8488372093023258,1,39,0,0.0385756676557863,1011,86,75.0,2.0,1.0,0,2010,4,2.957516163660136,0.5872756601905462,-0.679866150355754,-0.5246084951801777,1.462214604087071,1.280095692727915,-0.08274997853938422,6.80052322141514,5.704134843122696,4.937766624449948,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
