recency,frequency,monetarytotal,monetaryavg,monetarystd,avgquantitypertransaction,customertenuredays,firstpurchasedaysago,preferreddayofweek,preferredhour,preferredmonth,weekendpurchaseratio,avgdaysbetweenpurchases,uniqueproducts,avgproductspertransaction,uniquecountries,negativequantitycount,zeropricecount,returnratio,totaltransactions,uniqueinvoices,age,supportticketscount,satisfactionscore,churn,regyear,regday,monetaryperday,avgbasketvalue,purchaseintensity,tenureratio,productdiversityratio,returnimpact,customerscorenormalized,monetaryperday_log,avgbasketvalue_log,returnimpact_log,regmonth_sin,regmonth_cos,regweekday_sin,regweekday_cos,rfmsegment_dormants,rfmsegment_fidèles,rfmsegment_potentiels,agecategory_25-34,agecategory_35-44,agecategory_45-54,agecategory_55-64,agecategory_65+,agecategory_inconnu,spendingcategory_low,spendingcategory_medium,spendingcategory_vip,customertype_nouveau,customertype_occasionnel,customertype_perdu,customertype_régulier,favoriteseason_hiver,favoriteseason_printemps,favoriteseason_été,preferredtimeofday_matin,preferredtimeofday_midi,preferredtimeofday_soir,region_amérique du nord,region_amérique du sud,region_asie,region_autre,region_europe centrale,region_europe continentale,region_europe de l'est,region_europe du nord,region_europe du sud,region_moyen-orient,region_océanie,region_uk,loyaltylevel_jeune,loyaltylevel_nouveau,loyaltylevel_établi,churnriskcategory_faible,churnriskcategory_moyen,churnriskcategory_élevé,weekendpreference_semaine,basketsizecategory_moyen,basketsizecategory_petit,productdiversity_modéré,productdiversity_spécialisé,gender_m,gender_unknown,accountstatus_closed,accountstatus_pending,accountstatus_suspended,country_austria,country_bahrain,country_belgium,country_canada,country_channel islands,country_cyprus,country_czech republic,country_denmark,country_eire,country_european community,country_finland,country_france,country_germany,country_greece,country_iceland,country_israel,country_italy,country_lebanon,country_malta,country_netherlands,country_norway,country_poland,country_portugal,country_rsa,country_saudi arabia,country_singapore,country_spain,country_sweden,country_switzerland,country_usa,country_united arab emirates,country_unspecified,cluster,segment
302,11,3589.26875,16.950737179487184,13.603661689116102,5.426282051282051,71,374,3,9,12,0.0,0.2218649517684887,24,0.6857142857142857,1,15,0,0.048076923076923,312,35,49.0,1.0,4.0,1,2010,17,-0.3602455698384522,0.5872756601905462,-0.4411757914480699,-0.4819119726516443,-0.911581504275114,1.6774305697058212,0.576509885784926,2.55301468731389,5.704134843122696,5.156529108759642,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,clients à risque
3,11,3589.26875,28.634820717131475,23.15013187581723,19.95617529880478,370,374,4,12,11,0.0557768924302788,1.456,115,6.388888888888889,1,4,0,0.0159362549800796,251,18,46.0,2.0,5.0,0,2009,12,2.957516163660136,0.5872756601905462,-0.6797117414982395,-0.5246082734839668,-0.2079481301351829,0.3333336227026688,-0.08234887857868,6.80052322141514,5.704134843122696,4.063876797862837,-1.0,-1.8369701987210294e-16,-0.9749279121818236,-0.2225209339563146,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,clients à risque
96,5,948.25,33.86607142857142,42.95311926234322,15.678571428571429,278,374,0,9,9,0.0,10.25925925925926,24,4.8,1,0,0,0.0,28,5,32.0,2.0,2.0,1,2010,28,-0.3680016203202519,-0.3076021903865076,-0.7024332388342986,-0.5211814412529089,-0.7260078671393081,-0.3331077717589623,-0.1761002660794752,2.377300391733292,5.069166222397284,0.0,0.4999999999999999,0.8660254037844387,0.4338837391175582,-0.900968867902419,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,clients perdus
26,11,3589.26875,42.16981651376147,49.09086065619568,19.027522935779817,348,374,2,16,1,0.1651376146788991,3.1481481481481484,63,3.15,1,6,0,0.055045871559633,109,20,25.0,2.0,5.0,0,2010,18,0.093465436451953,0.5872756601905462,-0.6760908759111396,-0.523930940105732,-0.6100243439294294,1.9688664026887923,-0.0724363084727251,4.897361175201714,5.704134843122696,5.291163974968782,-0.8660254037844386,0.5000000000000001,0.0,1.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,clients à risque
16,11,3589.26875,72.3065625,142.20644033836976,31.484375,357,374,4,15,10,0.0,5.587301587301587,47,3.1333333333333333,1,3,0,0.046875,64,15,38.0,2.0,2.0,0,2010,17,0.3864629533018952,0.5872756601905462,-0.6776259279928215,-0.5242349271565527,-0.7337401020199668,1.6271671111692048,-0.0766517683278194,5.357215585493436,5.704134843122696,5.131359024815574,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,clients à risque
88,7,2005.63,29.934776119402983,35.43095185809055,9.149253731343284,286,374,1,9,9,0.0,4.2727272727272725,34,4.857142857142857,1,0,0,0.0,67,7,36.0,3.0,3.0,0,2010,27,-0.3201936020761157,0.2802246770222287,-0.6899006718743563,-0.5215635517953221,-0.7028111624973323,-0.3331077717589623,-0.1212304234096769,3.158495836048022,5.528252800719201,0.0,-2.4492935982947064e-16,1.0,0.0,1.0,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,clients perdus
374,1,489.6,37.66153846153846,28.254373952290948,14.615384615384617,1,374,2,9,12,0.0,0.0,13,13.0,1,0,0,0.0,13,1,40.0,2.0,4.0,1,2010,10,-0.3997384059420986,0.2427726497892523,1.2001459128953138,3.289702525870042,-0.4940408207195506,-0.3331077717589623,-0.1052186459402911,0.8353409462631206,5.504518197131935,0.0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,clients réguliers
50,3,598.83,19.961,5.365604603268926,8.833333333333334,323,374,1,15,6,0.0,11.10344827586207,28,9.333333333333334,1,0,0,0.0,30,3,28.0,2.0,3.0,0,2010,17,-0.3606352714104315,-0.360472219937922,-0.7192138943696268,-0.5231168382263531,-0.4476474114355991,-0.3331077717589623,-0.201490917121443,2.5448851574966707,5.015340872144575,0.0,-1.0,-1.8369701987210294e-16,-0.433883739117558,-0.9009688679024191,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,clients perdus
261,2,389.44,16.226666666666667,4.731409999113387,8.666666666666666,112,374,2,9,12,0.0,4.869565217391305,22,11.0,1,0,0,0.0,24,2,49.0,2.0,3.0,1,2010,25,-0.3990609229281637,-0.4866762210858994,-0.7028633807522014,-0.5011339643040685,-0.4167184719129648,-0.3331077717589623,-0.1599184279761782,0.910840793397779,4.873771370627081,0.0,-0.5000000000000004,0.8660254037844384,0.4338837391175582,-0.900968867902419,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,clients perdus
36,11,3589.26875,26.73495833333333,50.20159874263217,11.95,338,374,3,14,10,0.125,1.3849372384937235,163,9.055555555555555,2,4,1,0.0166666666666666,240,18,70.0,2.0,1.0,0,2010,12,-0.0411550442628851,0.5872756601905462,-0.6742896676343709,-0.5236076741217717,0.163199144136429,0.3638788532821609,-0.0675142971597196,4.585041593408839,5.704134843122696,4.107937521817447,-1.0,-1.8369701987210294e-16,-0.7818314824680299,0.6234898018587334,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,clients à risque
